IATA code,Lat Decimal Degrees,Long Decimal Degrees
FAN,58.1,6.625
FAO,37.014,-7.966
FAT,36.776,-119.718
FAV,-16.054,-145.657
FBK,64.837,-147.614
FBM,-11.591,27.531
FBU,59.896,10.617
FCO,41.813,12.253
FCS,38.678,-104.756
FDF,14.591,-61.003
FDH,47.671,9.511
FDU,-3.311,17.382
FEL,48.206,11.267
FEN,-3.855,-32.423
FEZ,33.927,-4.978
FFD,51.682,-1.79
FFO,39.826,-84.048
FHU,31.588,-110.344
FIG,10.351,-13.569
FIH,-4.386,15.444
FJR,25.112,56.324
FKI,0.518,25.155
FLA,1.59,-75.564
FLL,26.072,-80.153
FLN,-27.672,-48.548
FLO,34.185,-79.724
FLR,43.81,11.205
FLV,39.368,-94.914
FLW,39.455,-31.131
FMA,-26.212,-58.228
FMH,41.658,-70.521
FMI,-5.876,29.25
FMN,36.741,-108.23
FMO,52.134,7.685
FMY,26.586,-81.863
FNA,8.616,-13.195
FNI,43.757,4.416
FNJ,39.033,125.783
FOC,25.933,119.662
FOD,42.551,-94.193
FOE,38.951,-95.664
FOG,41.433,15.535
FOK,40.844,-72.632
FOM,5.637,10.751
FOR,-3.776,-38.532
FPO,26.559,-78.695
FRA,50.026,8.543
FRC,-20.592,-47.383
FRI,39.055,-96.764
FRL,44.195,12.07
FRO,61.584,5.025
FRU,43.062,74.478
FRW,-21.159,27.474
FSC,41.501,9.098
FSI,34.65,-98.402
FSM,35.336,-94.367
FSP,46.763,-56.175
FTK,37.907,-85.972
FTU,-25.038,46.956
FTW,32.82,-97.362
FTX,-0.531,15.95
FUE,28.453,-13.864
FUJ,32.666,128.833
FUK,33.586,130.45
FUN,-8.517,179.217
FXE,26.197,-80.171
FXO,-14.82,36.532
FYT,17.917,19.111
FYU,66.571,-145.25
FYV,36.005,-94.17
FZO,51.519,-2.591
GAE,33.877,10.103
GAF,34.422,8.822
GAG,36.295,-99.776
GAJ,38.412,140.371
GAL,64.736,-156.937
GAO,20.085,-75.158
GAQ,16.248,-0.005
GAS,-0.463,39.648
GAY,24.748,84.943
GBE,-24.555,25.918
GCI,49.435,-2.602
GCJ,-25.986,28.14
GCK,37.927,-100.724
GCM,19.293,-81.357
GDL,20.522,-103.311
GDN,54.377,18.466
GDQ,12.518,37.432
GDX,59.91,150.717
GEA,-22.258,166.473
GEG,47.62,-117.534
GEL,-28.282,-54.169
GER,21.835,-82.784
GEV,67.132,20.814
GFK,47.949,-97.176
GGG,32.385,-94.711
GGT,23.563,-75.878
GHA,32.384,3.794
GHB,25.284,-76.331
GHC,-26.506,28.394
GHF,49.648,9.966
GHT,25.146,10.143
GHU,-33.006,-58.613
GIB,36.151,-5.349
GIG,-22.809,-43.244
GIL,35.919,74.334
GIS,-38.663,177.978
GIZ,16.901,42.586
GJA,16.445,-85.906
GJL,36.795,5.873
GKA,-6.082,145.392
GKE,50.961,6.042
GKN,62.155,-145.456
GLA,55.872,-4.433
GLF,8.654,-83.182
GLO,51.894,-2.167
GLS,29.265,-94.86
GMA,3.235,19.771
GMB,8.128,34.563
GME,52.527,31.017
GMP,37.558,126.791
GMR,-23.08,-134.89
GNB,45.363,5.329
GND,12.004,-61.786
GNI,22.674,121.458
GNS,1.166,97.703
GNT,35.165,-107.901
GNV,29.69,-82.272
GOA,44.412,8.842
GOH,64.191,-51.678
GOI,15.381,73.833
GOM,-1.671,29.238
GOT,57.663,12.28
GOU,9.336,13.37
GOY,7.337,81.626
GOZ,43.151,25.713
GPA,38.151,21.426
GPI,2.57,-77.898
GPS,-0.454,-90.266
GRB,44.485,-88.129
GRF,47.079,-122.581
GRJ,-34.005,22.379
GRK,31.067,-97.829
GRO,41.901,2.76
GRQ,53.119,6.579
GRR,42.881,-85.523
GRS,42.761,11.072
GRU,-23.432,-46.469
GRW,39.092,-28.03
GRX,37.133,-3.636
GRX,37.189,-3.777
GRZ,47,15.433
GSB,35.339,-77.961
GSE,57.775,11.87
GSF,36.178,5.324
GTB,44.056,-75.719
GTF,47.482,-111.371
GTN,-43.765,170.133
GTO,0.637,122.852
GUA,14.583,-90.528
GUI,10.574,-62.313
GUM,13.484,144.797
GUQ,9.027,-69.755
GUS,40.648,-86.152
GUT,51.923,8.306
GVA,46.238,6.109
GVT,33.068,-96.065
GVW,38.843,-94.561
GVX,60.593,16.951
GWD,25.233,62.329
GWE,-19.437,29.862
GWL,26.294,78.228
GWO,33.494,-90.084
GWT,54.913,8.34
GWW,35.461,-77.965
GWY,53.301,-8.939
GXG,-7.754,15.287
GXQ,-45.594,-72.106
GYA,-10.822,-65.346
GYE,-2.158,-79.884
GYI,-1.677,29.259
GYM,27.969,-110.925
GYN,-16.631,-49.222
GZT,36.948,37.479
HAA,70.487,22.14
HAC,33.115,139.786
HAD,56.691,12.82
HAH,-11.534,43.272
HAJ,52.461,9.685
HAM,53.63,9.988
HAN,21.222,105.806
HAS,27.438,41.686
HAU,59.345,5.208
HAV,22.989,-82.409
HBA,-42.836,147.51
HBR,34.991,-99.051
HBT,27.901,45.528
HCS,-26.242,28.151
HDD,25.318,68.366
HDH,21.579,-158.21
HDS,-24.369,31.049
